,miss_M_pct,miss_F_pct,diff_FminusM,mean_miss
dis_blind_serious_diff_seeing,4.04,3.94,-0.1,3.99
dis_deaf_serious_diff_hearing,4.04,3.94,-0.1,3.99
db_milk_consumption_30d,4.04,3.94,-0.1,3.99
mc_anemia_treatment_past_3mo,4.04,3.94,-0.1,3.99
mc_asthma_ever,4.04,3.94,-0.1,3.99
inc_monthly_poverty_category,3.82,3.44,-0.38,3.63
inc_monthly_family_range,3.82,3.44,-0.38,3.63
bm_exam_status,3.44,3.67,0.23,3.56
exam_period_6mo,3.44,3.67,0.23,3.56
px_exam_status,3.44,3.67,0.23,3.56
diet_day1_weight,3.44,3.67,0.23,3.56
d1_recall_status,3.44,3.67,0.23,3.56
hh_ref_country_of_birth,2.96,2.88,-0.08,2.92
hh_ref_education,2.9,2.88,-0.02,2.89
household_income_range,1.26,1.35,0.09,1.31
cb_money_spent_nonfood_supermarket,1.24,1.35,0.11,1.3
family_income_range,1.18,1.24,0.06,1.21
cb_money_spent_food_other_stores,1.18,1.24,0.06,1.21
hh_ref_marital_status,1.16,1.26,0.1,1.21
cb_money_spent_on_food_supermarket,1.18,1.24,0.06,1.21
inc_social_security,1.18,1.24,0.06,1.21
cb_money_spent_food_restaurants,1.18,1.24,0.06,1.21
cb_money_spent_food_fast_food,1.18,1.24,0.06,1.21
inc_retirement_income,1.18,1.24,0.06,1.21
inc_supplemental_security,1.18,1.24,0.06,1.21
inc_welfare_assistance,1.18,1.24,0.06,1.21
inc_interest_dividends,1.18,1.24,0.06,1.21
inc_other_sources,1.18,1.24,0.06,1.21
inc_self_employment,1.18,1.24,0.06,1.21
inc_disability_pension,1.18,1.24,0.06,1.21
inc_wages_salaries,1.18,1.24,0.06,1.21
fs_hh_food_security_cat,1.14,1.26,0.12,1.2
fs_adult_food_security_cat,1.14,1.26,0.12,1.2
hh_home_owned_or_rented,1.16,1.22,0.06,1.19
family_interview_language,1.16,1.22,0.06,1.19
family_interview_proxy_used,1.16,1.22,0.06,1.19
family_interview_interpreter_used,1.16,1.22,0.06,1.19
hh_num_rooms,1.16,1.22,0.06,1.19
fs_food_stamp_receipt_12mo,1.08,1.2,0.12,1.14
fs_hh_food_balanced_12mo,1.08,1.2,0.12,1.14
fs_hh_food_not_last_12mo,1.08,1.2,0.12,1.14
fs_hh_food_worried_12mo,1.08,1.2,0.12,1.14
smoke_hh_num_smokers,1.08,1.2,0.12,1.14
fs_food_stamp_hh_any_12mo,1.08,1.2,0.12,1.14
smoke_car_exposure_days,0.68,0.7,0.02,0.69
smoke_exposure_any_location,0.68,0.7,0.02,0.69
smoke_car_rules,0.68,0.7,0.02,0.69
smoke_home_rules,0.68,0.7,0.02,0.69
smoke_questionnaire_source_a,0.26,0.39,0.13,0.32
us_citizenship_status,0.04,0.04,0.0,0.04
sp_interview_proxy_used,0.02,0.0,-0.02,0.01
