,r
glucose_serum_mgdl,-0.037023918100039264
insulin_pmoll,-0.03684874670003134
oral_hpv_type_69,0.03677584964494658
oh_told_gum_disease,-0.03675761480965702
consumed_alcohol_before_draw,0.03666488661007101
inc_other_sources,-0.03657217131093312
oral_hpv_positive_control,0.03653943791869319
oral_hpv_type_35,0.036426802561473196
inorg_mercury_nmoll,0.03639952838168461
mc_blood_transfusion_ever,-0.036242160415023206
bass_past30d,0.03621245595913327
sp_interview_proxy_used,0.03621169251173206
walleye_past30d,0.03618097118285497
cs_nacl_whole_mouth_taste,-0.036086095521971534
oral_hpv_type_42,0.03595733856849452
swordfish_past30d,0.03589707249100056
hs_questionnaire_source,0.035695825400229204
oral_hpv_type_53,0.03568007028656217
oral_hpv_type_52,0.03514185385991995
oral_hpv_type_18,0.03514185385991993
perch_past30d,0.034885946559761065
crabs_past30d,-0.03474737900964845
smoke_home_rules_guests,0.03465050400921577
oral_hpv_type_31,0.03448723881533839
oral_hpv_type_68,0.034433718920445326
oral_hpv_type_73,0.03432936970333679
oral_hpv_type_39,0.034228493809227566
tooth_15_count_code,-0.034006795700860196
tooth_29_sealant,-0.03390960312983255
mc_family_asthma,-0.03377645136645019
sleep_doctor_ever_sleep_study,0.0337676505945948
oral_hpv_type_67,0.033719151059772925
oral_hpv_type_83,0.03347215199557012
pa_moderate_recreation_days_wk,-0.03310791747362183
pike_past30d,0.03306116589686372
lived_or_traveled_outside_us,-0.03300083752092524
oral_hpv_type_11,0.03294841738171516
oral_hpv_internal_control,0.03289971704460557
oral_hpv_type_54,0.03289971704460556
oral_hpv_type_71,0.03280486483576203
oh_mouth_problem_depressed,-0.032613532445312524
alc_days_5plus_past_year_num,-0.032591703907456436
inorg_mercury_below_lod,-0.03258442918843488
grip_hand1_trial3_effort,0.032474457835690085
cs_taste_current,0.03229117992134444
oral_hpv_high_risk_any,0.032175015049756596
oral_hpv_type_82,0.03212876747763865
oral_hpv_type_45,0.03208335040510035
oh_worry_teeth_freq,-0.03191963208695989
age_years,0.03191941950847869
cs_smell_leather,0.0319188722802057
oral_hpv_type_40,0.03135515544613279
oral_hpv_type_26,0.03135515544613279
tooth_19_sealant,-0.031309631750614665
tooth_12_sealant,0.031155351092190774
drug_needle_inject_ever,0.031128162962244663
mussels_past30d,0.0310914057088819
ins_uncovered_past_12mo,-0.031030738744275387
osteo_spine_fracture_ever,0.03102494588764491
on_any_special_diet,-0.03088323295845639
tooth_12_count_code,0.03079779874880731
cs_self_report_taste_problem,-0.03067459582772404
db_school_attendance,0.03057536310783836
d1_pufa_c22_6_g,-0.03054523054821644
mc_cancer_ever,-0.030211483353952392
mpv_fl,0.029928006981484227
cs_smell_problem_cause_cold,-0.02978854020807432
bp_max_inflation_level,-0.029777454059105663
oral_hpv_type_70,0.029724673503139912
dis_deaf_serious_diff_hearing,0.029660560475175672
bp_diastolic_1,-0.02964202397825301
hepatitis_b_core_ab,0.029456561728460184
oh_implants_present,-0.02941890989038241
health_gen_cond_self,0.029350652501810744
bp_arm_selected,0.028698440221881342
urine_alb_creat_ratio,-0.028397743828811634
took_antacids_before_draw,-0.02814849819959346
apolipoprotein_b_gl,-0.028101955641450727
alc_avg_drinks_per_drinking_day,-0.027608423921199603
inc_monthly_poverty_index,-0.02748566159582217
tooth_30_sealant,-0.027294557156436056
tooth_03_count_code,-0.02719502256638456
bp_ever_high_bp,-0.02719031978777553
bp_pulse_regularity,-0.027078210172679154
ldl_cholesterol_mgdl,0.027048696682394575
family_income_range,-0.027035545904195005
cs_inability_smell_gas_leak,-0.026998197019077512
mc_family_diabetes,-0.026664507885665475
db_milk_age_5_12,-0.026399225062444624
oh_last_dental_visit,-0.026396122103919395
cb_supercenter_shopping_freq,0.026354492226675692
poverty_income_ratio,-0.026321363193984742
tooth_03_sealant,-0.026292181582589037
cs_taste_problem_persisting,-0.026034657209987943
chewed_gum_before_draw,-0.0258315363180779
grip_hand2_trial1_effort,0.025417529583291677
tooth_21_count_code,0.025362050302752216
occ_hours_worked_last_week,-0.025322502730538893
salt_freq_added_at_table,-0.025278221425425112
household_income_range,-0.024976356606835365
cs_taste_loss_cause,-0.02474804729645817
ins_private,-0.024635231543028966
osteo_prednisone_month_or_more,-0.0245463682106634
age_months_at_exam,0.024235388568242287
phq9_thoughts_self_harm,0.024116963948151226
education_20_plus,0.02411022019018005
sx_ever_trichomoniasis_told,-0.023629628239268122
oh_self_rated_dental_appearance,-0.023615609881825334
osteo_wrist_fracture_ever,0.02360167466806934
inc_monthly_poverty_category,-0.02350192311478665
d1_interviewer_id,0.023485293750165597
tooth_14_sealant,-0.0234297160324612
hepatitis_e_igm,-0.02305807461926973
tooth_04_count_code,0.022721481698947606
unknown_fish_past30d,0.022603362523313384
tooth_28_count_code,0.022537338400549396
audio_hearing_aid_used,-0.0224287163676107
inc_family_savings_range,0.02239041462769376
hepatitis_d_antibody,-0.022362355292875963
bp_time_since_chol_check_months,-0.022328808590550933
hh_ref_age_years,0.022300335699579614
cs_self_report_smell_problem,0.02219870000578177
dis_blind_serious_diff_seeing,-0.022158250308396264
basophil_pct,-0.022119547679076094
mc_family_heart_attack_before_50,-0.021833726483386596
oh_mouth_problem_anxious,0.021791347189264888
occ_longest_kind_of_work,-0.021772239165445198
pf_difficulty_working,-0.021390600776283793
stomach_illness_past_30d,-0.021243398665699888
bp_enhancement_3,-0.021083720266474034
bp_diastolic_2,-0.020901683696786674
methyl_mercury_below_lod,-0.020803601679152718
phq9_moving_slowly_or_fidgety,0.020755867638622097
ins_prescription_coverage,-0.020732939780382712
sx_ever_chlamydia_told,0.020527013711616637
mc_angina_ever,0.020386314501992957
shrimp_times_past30d,-0.02034031273406844
mc_psoriasis_ever,-0.020339586914963643
wh_height_in,0.020276405403262334
cb_nutrition_facts_ingredients,-0.020196587856152113
oh_mouth_pain_past_year,-0.0198650931341227
cs_smell_onion,0.019864616817709565
cb_health_claims_influence,-0.019689482618004923
pest_used_in_home_past_7d,-0.019659285783922637
grip_hand1_trial1_effort,0.0196232225199549
clams_past30d,0.019617612141267057
oh_teeth_appearance_self,-0.01948071154630733
ins_any_coverage,-0.01932389779028011
tooth_04_sealant,-0.019140908669892973
tooth_21_sealant,0.019110969040347776
d1_num_foods_reported,0.019043264568633974
d1_main_respondent,-0.01903136721872005
